fips,median_household_income
27095,49094
27097,50049
27099,49427
27101,51983
27103,58640
27105,50625
27107,50377
27109,68023
27111,52365
27113,47127
27115,44549
27117,46990
27119,53326
27121,52785
27123,56104
27125,50332
27127,47211
27129,52149
27131,59598
27133,51496
27135,53199
27137,48331
27139,87794
27141,74170
27143,56990
27145,56336
27147,57858
27149,52302
27151,49035
27153,46414
27155,49186
27157,56510
27159,41906
27161,53564
27163,83706
27165,50604
27167,51476
27169,50547
27171,73557
27173,53041
28001,28869
28003,36163
28005,30704
28007,32886
28009,33141
28011,27585
28013,31098
28015,37289
28017,30926
28019,30692
28021,23259
28023,35993
28025,31669
28027,28851
28029,35130
28031,31631
28033,58278
28035,36416
28037,38170
28039,44258
28041,40176
28043,31779
28045,43355
28047,41722
28049,37324
28051,20732
28053,23216
28055,23491
28057,35004
28059,48406
28061,31578
28063,20743
28065,26279
28067,37143
28069,30056
28071,44643
28073,52035
28075,38132
28077,35634
28079,33452
28081,42784
28083,24233
28085,36473
28087,40239
28089,64376
28091,30668
28093,37419
28095,36783
28097,30146
28099,35645
28101,37045
28103,26677
28105,32485
28107,36555
28109,40976
28111,34045
28113,31677
28115,40645
28117,32945
28119,24583
28121,58801
28123,32935
28125,30525
28127,35375
28129,32951
28131,45025
28133,27384
28135,29731
28137,42880
28139,35609
28141,35143
28143,31211
28145,35865
28147,31384
28149,41121
28151,29144
28153,32557
28155,34448
28157,29931
28159,33202
28161,36502
28163,28961
29151,52693
29153,31399
29155,29238
29157,51499
29159,39928
29161,41618
29163,41750
29165,68254
29167,41130
29169,47931
29171,36346
29173,47345
29175,37832
29177,52526
29179,35648
29181,32444
29183,72415
29185,32046
29186,47014
29187,39741
29189,59755
29195,40101
29197,37500
29199,39772
29201,39162
29203,32404
29205,39087
29207,38203
29209,40510
29211,40197
29213,38357
29215,35088
29217,40693
29219,51133
29221,35305
29223,33750
29225,44451
29227,45952
29229,29778
29510,35599
29001,37516
29003,55613
29005,43933
29007,41310
29009,39033
29011,37467
29013,41060
29015,33042
29017,39707
29019,49899
29021,46315
29023,35738
29025,43691
29027,47744
29029,44816
29031,46050
29033,42415
29035,33034
29037,61584
29039,31532
29041,40642
29043,53270
29045,43883
29047,62099
29049,54773
29051,53088
29053,44549
29055,36743
29057,37035
29059,38062
29061,41642
29063,41406
29065,36831
29067,30508
29069,31077
29071,48480
29073,42826
29075,41912
29077,41227
29079,37656
29081,39301
29083,42181
29085,32122
29087,42500
29089,44820
29091,32784
29093,36239
29095,46869
29097,41811
29099,55348
29101,49792
29103,38289
29105,39712
29107,50723
29109,40597
29111,43909
29113,53718
29115,37997
29117,43350
29119,38368
29121,36976
29123,35097
29125,39700
29127,40814
29129,40768
29131,38094
29133,28347
29135,47725
29137,43138
29139,39830
29141,33525
29143,33630
29145,43290
29147,35854
29149,29851
30001,41512
30003,41622
30005,36744
30007,50115
30009,49767
30011,45000
30013,45205
30015,38521
30017,48750
30019,49239
30021,52738
30023,39399
30025,53266
30027,40881
30029,47851
30031,55553
30033,39732
30035,29640
30037,40938
30039,48512
30041,44633
30043,60842
30045,44602
30047,38732
30049,56197
30051,47768
30053,35275
30055,40750
30057,46250
30059,41641
30061,36031
30063,46164
30065,39517
30067,43932
30069,43750
30071,36071
30073,42264
30075,46346
30077,40000
30079,42383
30081,39480
30083,65084
30085,32974
30087,51159
30089,32257
30091,50664
30093,37749
30095,58259
30097,50588
30099,46360
30101,44804
30103,41103
30105,49141
30107,32723
30109,38553
30111,52802
31001,50635
31003,45609
31005,39375
31007,48897
31009,48875
31011,50306
31013,51691
31015,40224
31017,36078
31019,53624
31021,47429
31023,51027
31025,65619
31027,52250
31029,52422
31031,48750
31033,53814
31035,51470
31037,51367
31039,50013
31041,46468
31043,49786
31045,41038
31047,48329
31049,50962
31051,51223
31053,49068
31055,54659
31057,42500
31059,52316
31061,45905
31063,49634
31065,39934
31067,50010
31069,45845
31071,43179
31073,54375
31075,44750
31077,42904
31079,49252
31081,59311
31083,46766
31085,44500
31087,39231
31089,46728
31091,37317
31093,50030
31095,43008
31097,45429
31099,51934
31101,41781
31103,38625
31105,40242
31107,45411
31109,51830
31111,50194
31113,48281
31115,55417
31117,54306
31119,50218
31121,51012
31123,45910
31125,42500
31127,49656
31129,40488
31131,50275
31133,41161
31135,55893
31137,50404
31139,54482
31141,56318
31143,57312
31145,42931
31147,42750
31149,48456
31151,51738
31153,70543
31155,60854
31157,45992
31159,59662
31161,41985
31163,46366
31165,41215
31167,53416
31169,45741
31171,51000
31173,41266
31175,44612
31177,65370
31179,54159
31181,40256
31183,46394
31185,51802
32001,47415
32003,51575
32005,58535
32007,71799
32009,39271
32011,60250
32013,65212
32015,78190
32017,44866
32019,47255
32021,38923
32023,41712
32027,45230
32029,64832
32031,52870
32033,57122
32510,47668
33001,62159
33003,53306
33005,57782
33007,42312
33009,55762
33011,71244
33013,65983
33015,81198
33017,60711
33019,56032
34001,54461
34003,85806
34005,78621
34007,62185
34009,57637
34011,49984
34013,53976
34015,76727
34017,59741
34019,105444
34021,72804
34023,79593
34025,85242
34027,100214
34029,61994
34031,59739
34033,61831
34035,100667
34037,86565
34039,69594
34041,70471
35001,47725
35003,42973
35005,40630
35006,34565
35007,32380
35009,41084
35011,32500
35013,38853
35015,56618
35017,38311
35019,30772
35021,33393
35023,34444
35025,57533
35027,40708
35028,101934
35029,27476
35031,28772
35033,23822
35035,39775
35037,29113
35039,36098
35041,35546
35043,58982
35045,48671
35047,29237
35049,54315
35051,29356
35053,34037
35055,36582
35057,32083
35059,36070
35061,41703
36081,57720
36083,60709
36085,73197
36087,84855
36089,44705
36091,71496
36093,58114
36095,51195
36097,47680
36099,49292
36101,47280
36103,88663
36105,50710
36107,57514
36109,52624
36111,58918
36113,56798
36115,51143
36117,50798
36119,83958
36121,52564
36123,49510
36001,59887
36003,42776
36005,34299
36007,46261
36009,42601
36011,52082
36013,42993
36015,50320
36017,45668
36019,49930
36021,59105
36023,49514
36025,43720
36027,71904
36029,51247
36031,52758
36033,47923
36035,46969
36037,50880
36039,50278
36041,48243
36043,46229
36045,49505
36047,48201
36049,49819
36051,51734
36053,54145
36055,52553
36057,43764
36059,99465
36061,72871
36063,49449
36065,48246
36067,55092
36069,57416
36071,70848
36073,46359
36075,47860
36077,48588
36079,96148
37001,41814
37003,39365
37005,36968
37007,33228
37009,36267
37011,37777
37013,40391
37015,30027
37017,30096
37019,46859
37021,45167
37023,39360
37025,54720
37027,35763
37029,58780
37031,48457
37033,37869
37035,44376
37037,56642
37039,34662
37041,38759
37043,37076
37045,39453
37047,34949
37049,47985
37051,44171
37053,60600
37055,54496
37057,43363
37059,51527
37061,35035
37063,52503
37065,32659
37067,45471
37069,42685
37071,42429
37073,49258
37075,34805
37077,50225
37079,35777
37081,45651
37083,32245
37085,46353
37087,42257
37089,46448
37091,33008
37093,41542
37095,42897
37097,52306
37099,38015
37101,50512
37103,34005
37105,45608
37107,34717
37109,49215
37111,35965
37113,39133
37115,37904
37117,35080
37119,56854
37121,37391
37123,32500
37125,50998
37127,42713
37129,50088
37131,30429
37133,46335
37135,59290
37137,43444
37139,45378
37141,44828
37143,44329
37145,42105
37147,41119
37149,46528
37151,41947
37153,32687
37155,30608
37157,38126
37159,43069
37161,35630
37163,35490
37165,30958
37167,40910
37169,40696
37171,36164
37173,33931
37175,45114
37177,32361
37179,65903
37181,33316
37183,67309
37185,34254
37187,34538
37189,37656
37191,40390
37193,33232
37195,39847
37197,37796
37199,37484
38001,52118
38003,53141
38005,41296
38007,70469
38009,56349
38011,66845
38013,60096
38015,65254
38017,53289
38019,66806
38021,53750
38023,56042
38025,69732
38027,48583
38029,44051
38031,55769
38033,40179
38035,48676
38037,44559
38039,48355
38041,52169
38043,54559
38045,54821
38047,51458
38049,57386
38051,42277
38053,72794
38055,55686
38057,72704
38059,62418
38061,68188
38063,51085
38065,60278
38067,53504
38069,42563
38071,50841
38073,56500
38075,65125
38077,55390
38079,33277
38081,57125
38083,48102
38085,38068
38087,55000
38089,72099
38091,55833
38093,52359
38095,56625
38097,54960
38099,49411
38101,61393
38103,48098
38105,88013
40001,33404
40003,50156
40005,36661
40007,52090
40009,48601
40011,41972
40013,38847
40015,40674
40017,64505
40019,44531
40021,38694
40023,30617
40025,46680
40027,56452
40029,38243
40031,46241
40033,46361
40035,38876
40037,45016
40039,46125
40041,37942
40043,50904
40045,50855
40047,48238
40049,40524
40051,52279
40053,50250
40055,40125
40057,31250
40059,48359
40061,35252
40063,35563
