fips,opioid_presc_rate,total_population,average_household_size,percent_with_healthcare,median_household_income,median_age,perc_foreign_born,percent_grad_high_school,perc_male,poverty_population,opioid_death_rate
31173,1.6,6946,3.3,0.9895833333333334,41266,28.6,0.015116613878491218,0.8680189673340358,0.4938093866973798,2090,322.716
31175,7.2,4254,2.21,1,44612,46,0.0028208744710860366,0.9354515050167224,0.500470145745181,540,NA
31177,58.3,20257,2.48,1,65370,41.2,0.009231376808016981,0.9570894153891293,0.49247173816458506,1880,179.585
31185,99.8,13825,2.31,1,51802,41.3,0.02112115732368897,0.940312799233961,0.4941772151898734,1393,188.488
33001,68.6,60399,2.42,1,62159,46.1,0.03331180979817547,0.9165285315288721,0.48962731171045876,6214,190.855
33003,75.1,47513,2.22,1,53306,50.3,0.031002041546524108,0.9311655056581954,0.49906341422347567,4484,213.58
33005,65.1,76430,2.34,1,57782,42,0.029216276331283528,0.9227885626852825,0.4861311003532644,8467,208.515
33007,70.8,31870,2.13,1,42312,48.1,0.03508001255098839,0.8727877025342751,0.5091308440539692,4257,290.271
33009,67.8,89341,2.35,0.9888100866824271,55762,41.9,0.05775623733784041,0.9205858421480879,0.49276368072889265,9609,172.127
33011,54.6,403972,2.55,0.9970436772839977,71244,40.1,0.08912746427970256,0.9123399556124443,0.49558137692711374,34681,177.555
33013,73.7,147262,2.49,0.9987686107690585,65983,42.6,0.041701185641917125,0.9282279487328641,0.4921160924067309,12840,216.715
33015,63.1,299006,2.51,0.9950724293516979,81198,43.5,0.046577660648950185,0.9472250787702913,0.4944282054540712,16192,173.124
33017,79.9,125273,2.48,1,60711,37.2,0.0525651976084232,0.9191808873720136,0.487766717489004,12997,195.404
33019,54.9,43135,2.44,1,56032,45.1,0.0253390518140721,0.8948491701971777,0.4910629419265098,4099,267.417
34001,74.5,275376,2.64,0.994440623567171,54461,40.6,0.16476381383998606,0.8460627274376514,0.4837640171983034,40868,199.269
34003,42.5,926330,2.73,0.9878164771955251,85806,41.5,0.3018967322660391,0.9164225037738923,0.4836818412444809,67959,92.743
34005,69,450556,2.66,0.9977799788244134,78621,41,0.09312937792416481,0.926862295239776,0.4919987748470778,27881,127.759
34007,84.8,511998,2.71,0.9915127309036446,62185,38.3,0.1091351919343435,0.879257323534932,0.4831464185406974,66802,146.232
34009,88.2,95805,2.3,0.998960174690652,57637,48.3,0.055800845467355566,0.8947778092272856,0.48658211993111006,9744,242.508
34011,91.7,157035,2.86,0.9946091644204852,49984,36.9,0.10402776451109626,0.775039993941746,0.5154137612634127,25760,186.61
34013,39.6,791609,2.77,0.9897655007949125,53976,36.9,0.2551891148281538,0.8419397266540859,0.480315408238158,133788,100.262
34015,78.6,290298,2.74,0.9984357402077337,76727,39.6,0.05446816719371129,0.9166488129852376,0.48589036093944843,23200,157.014
34017,36.9,662619,2.63,0.9774205761883454,59741,34.7,0.4191398073402664,0.8291046264505241,0.496822457551021,114900,86.285
34019,42.8,126250,2.6,0.996200707454474,105444,45,0.08685940594059406,0.9442838429920051,0.49822574257425745,5379,113.093
