fips,total_population
37189,52240
37191,124355
37193,68946
37195,81581
37197,37971
37199,17604
38001,2341
38003,11097
38005,6794
38007,969
38009,6634
38011,3221
38013,2208
38015,88223
38017,162500
38019,3890
38021,5195
38023,2314
38025,4195
38027,2370
38029,3463
38031,3366
38033,1822
38035,68979
38037,2362
38039,2329
38041,2621
38043,2430
38045,4113
38047,1945
38049,5817
38051,2759
38053,9615
38055,9451
38057,8633
38059,28985
38061,9253
38063,3048
38065,1819
38067,7206
38069,4395
38071,11566
38073,5453
38075,2562
38077,16317
38079,14498
38081,3874
38083,1337
38085,4380
38087,673
38089,28628
38091,1979
38093,21076
38095,2294
38097,8077
38099,11005
38101,67736
38103,4204
38105,29619
40001,22236
40003,5755
40005,13906
40007,5530
40009,23300
40011,9810
40013,44003
40015,29495
40017,126193
40019,48442
40021,48097
40023,15120
40025,2341
40027,268614
40029,5812
40031,125531
40033,6112
40035,14744
40037,70761
40039,28978
40041,41409
40043,4863
40045,4121
40047,62192
40049,27455
40051,53612
40053,4517
40055,6117
40057,2866
40059,3766
40061,12850
40063,13785
40065,26056
40067,6333
40069,11022
40071,45587
40073,15302
40075,9302
40077,10774
40079,49899
40081,34504
40083,44493
40085,9663
40087,36512
40089,33143
40091,20280
40093,7700
40095,16014
40097,41007
40099,13733
40101,70224
40103,11506
40105,10555
40107,12248
40109,754480
40111,39446
40113,48054
40115,32085
40117,16499
40119,79423
40121,44961
40123,38055
40125,71136
40127,11226
40129,3780
40131,89190
40133,25481
40135,41464
40137,44806
40139,21588
40141,7715
40143,623335
40145,75391
40147,51760
40149,11649
40151,9033
40153,20986
41001,16052
41003,86495
41005,389438
41007,37382
41009,49389
41011,62775
41013,20956
41015,22338
41017,166622
41019,107194
41021,1883
41023,7276
41025,7229
41027,22749
41029,208363
41031,22061
41033,83409
41035,65972
41037,7842
41039,357060
41041,46347
41043,118971
41045,30551
41047,323259
41049,11204
41051,768418
41053,77264
41055,1795
41057,25430
41059,76738
41061,25745
41063,6857
41065,25492
41067,556210
41069,1348
41071,101119
42001,101767
42003,1231145
42005,67979
42007,169785
42009,49086
42011,413965
42013,126448
42015,62228
42017,626583
42019,185689
42021,139381
42023,4869
42025,64634
42027,157823
42029,509797
42031,39454
42033,81343
42035,39614
42037,66912
42039,87343
42041,241427
42043,271094
42045,561683
42047,31370
42049,279858
42051,134851
42053,7581
42055,152285
42057,14694
42059,37938
42061,45906
42063,87895
42065,44756
42067,24829
42069,213459
42071,530216
42073,89162
42075,135776
42077,356756
42079,320095
42081,116656
42083,42884
42085,115320
42087,46675
42089,167881
42091,812970
42093,18508
42095,299616
42097,94006
42099,45677
42101,1555072
42103,56632
42105,17377
42107,146360
42109,40046
42111,76617
42113,6381
42115,42369
42117,42284
42119,44958
42121,53906
42123,40962
42125,208226
42127,51642
42129,361251
42131,28147
42133,439660
44001,49176
44003,164958
44005,82663
44007,630459
44009,126405
45001,24997
45003,163908
45005,9838
45007,191215
45009,15432
45011,22098
45013,171420
45015,193613
45017,14958
45019,372904
45021,55863
