fips,opioid_death_rate
41015,396.249
41017,173.187
41019,347.603
41023,363.23
41025,315.414
41027,154.959
41029,251.239
41031,216.638
41033,359.704
41035,298
41037,331.76
41039,209.461
41041,382.797
41043,231.178
41045,236.539
41047,190
41049,230.619
41051,174.176
41053,140.547
41057,363.386
41059,196.191
41061,210.833
41063,NA
41065,298.679
41067,115.31
41071,203.742
42001,152.672
42003,164.441
42005,181.993
42007,186.348
42009,107.605
42011,128.492
42013,197.353
42015,166.2
42017,117.497
42019,136.475
42021,182.585
42025,232.726
42027,83.61
42029,93.742
42031,155.792
42033,147.65
42035,193.714
42037,138.512
42039,210.997
42041,114.283
42043,124.586
42045,142.527
42047,150.919
42049,145.543
42051,244.852
42053,NA
42055,123.496
42057,218.579
42059,231.201
42061,131.481
42063,116.947
42065,147.483
42067,156.86
42069,158.053
42071,129.434
42073,191.308
42075,136.826
42077,142.642
42079,165.938
42081,228.204
42083,159.969
42085,173.585
42087,181.261
42089,151.718
42091,107.092
42093,223.519
42095,166.725
42097,207.476
42099,170.231
42101,127.37
42103,241.172
42105,266.509
42107,224.973
42109,126.026
42111,143.883
42113,NA
42115,176.203
42117,171.22
42119,127.291
42121,218.706
42123,242.349
42125,193.768
42127,211.004
42129,176.955
42131,167.145
42133,139.269
44001,156.928
44003,170.702
44005,141.332
44007,160.019
44009,145.699
45001,140.72
45003,112.267
45005,NA
45007,232.997
45011,139.645
45013,107.017
45015,112.377
45019,133.927
45021,132.401
45023,177.123
45025,73.892
45027,126.653
